"id","consent_sim","group_sim","focus_1_sim","focus_2_sim","focus_3_sim","graphi_1_sim","graphi_2_sim","graphi_3_sim","inte_1_sim","inte_2_sim","inte_3_sim","inte_4_sim","inte_5_sim","soci_1_sim","soci_2_sim","soci_3_sim","soci_4_sim","soci_5_sim","symp_1_sim","symp_2_sim","symp_3_sim","symp_4_sim","symp_5_sim","symp_6_sim","symp_7_sim","symp_8_sim","symp_9_sim","symp_10_sim","play_1_sim","play_2_sim","play_3_sim","play_4_sim","effi_1_sim","effi_2_sim","effi_3_sim","effi_4_sim","dona_1_sim","dona_2_sim","dona_3_sim","age_sim","gender_sim","race_sim","income_sim","edu_sim"
1,1,1,5,2,6,7,3,4,7,6,6,2,6,6,7,5,7,2,4,7,4,7,7,7,6,4,6,7,4,7,6,5,6,7,4,7,6,6,6,44,2,3,8,2
2,1,1,5,2,6,6,7,6,7,7,4,7,7,6,7,2,4,7,7,1,7,6,6,3,7,6,7,7,6,2,7,7,7,7,6,6,6,6,6,25,2,3,5,8
3,1,1,5,2,6,4,7,6,3,5,1,6,7,5,7,1,4,3,6,6,7,6,6,4,7,7,7,6,4,7,7,6,7,7,4,6,7,6,7,21,2,6,7,2
4,1,1,5,2,6,5,7,7,7,7,6,1,6,3,6,1,7,5,2,6,7,7,6,4,7,4,2,3,7,2,7,3,7,7,5,5,6,7,4,38,3,2,9,4
5,1,1,5,2,6,7,5,4,6,7,5,6,6,4,4,6,4,2,6,7,5,7,7,7,5,6,5,6,5,7,7,7,7,7,7,6,6,7,6,32,3,4,5,8
6,1,1,5,2,6,6,7,7,3,2,2,7,3,6,4,2,4,2,6,7,6,7,7,2,6,6,6,7,7,7,7,6,4,6,4,6,7,5,4,36,3,1,11,1
7,1,1,5,2,6,6,7,6,7,4,6,4,7,7,4,1,7,1,7,6,2,6,4,7,6,7,5,6,4,6,5,5,4,7,7,3,3,6,7,52,1,7,5,3
8,1,1,5,2,6,3,3,4,6,7,3,7,7,7,6,4,7,1,5,1,7,6,6,4,2,7,7,7,4,6,7,6,7,7,7,7,6,5,6,26,3,2,3,7
9,1,1,5,2,6,7,7,4,6,6,6,6,6,7,6,2,7,1,6,7,7,7,7,5,7,1,2,7,7,6,5,6,6,6,6,7,7,7,7,36,3,4,9,5
10,1,1,5,2,6,7,6,4,7,6,2,6,7,5,6,2,6,4,6,6,6,7,7,7,7,7,3,3,2,2,7,6,7,7,2,7,6,6,6,44,2,2,13,3
11,1,1,5,2,6,6,7,6,6,7,7,2,7,6,7,1,2,3,6,6,7,6,6,6,6,5,7,6,6,7,4,6,4,7,7,6,6,3,7,28,3,3,8,6
12,1,1,5,2,6,7,5,5,7,7,6,7,3,7,7,1,1,2,6,3,7,7,7,7,5,7,5,6,6,7,6,6,7,2,7,6,7,6,2,40,2,7,4,1
13,1,1,5,2,6,3,4,4,7,3,6,6,7,7,6,1,7,1,7,6,7,6,4,4,6,6,6,6,1,7,1,7,5,3,2,4,5,7,4,30,1,2,3,3
14,1,1,5,2,6,7,7,6,7,7,6,7,3,5,6,2,7,4,4,7,7,7,4,7,7,6,6,6,7,3,6,5,7,7,2,3,7,1,5,44,1,3,8,7
15,1,1,5,2,6,6,7,6,7,6,7,7,6,7,7,4,7,2,6,7,6,6,7,4,4,5,7,6,6,6,6,7,7,7,6,2,6,7,7,47,3,2,8,7
16,1,1,5,2,6,7,6,7,7,1,7,7,7,6,7,2,6,2,7,7,7,2,7,7,6,4,6,7,7,7,7,6,3,6,7,7,6,4,6,31,1,4,10,4
17,1,1,5,2,6,7,7,7,7,6,6,7,6,7,2,2,4,1,7,7,6,7,6,2,2,7,7,7,7,7,7,7,6,2,7,6,7,7,6,25,3,3,8,3
18,1,1,5,2,6,6,6,2,7,4,6,7,5,7,6,5,7,2,6,5,7,7,6,6,5,6,7,5,2,7,4,7,7,5,7,7,6,6,7,27,2,2,11,3
19,1,1,5,2,6,7,6,4,3,7,7,7,7,2,7,5,6,2,5,5,6,6,1,3,4,7,7,6,7,7,7,2,6,6,3,6,6,6,4,37,2,1,11,3
20,1,1,5,2,6,7,7,7,3,7,7,7,6,7,7,2,7,3,1,7,4,5,7,5,6,7,7,4,7,1,2,3,6,7,7,7,7,6,7,58,2,6,13,5
21,1,1,5,2,6,6,7,7,6,6,6,6,7,7,2,5,7,3,6,1,4,6,5,7,7,7,6,7,7,6,5,7,6,4,5,1,6,7,4,39,3,3,8,1
22,1,1,5,2,6,7,7,4,6,2,1,7,6,6,7,2,2,2,7,7,7,7,6,7,6,5,7,5,6,6,7,6,7,6,4,7,6,7,5,35,3,5,11,4
23,1,1,5,2,6,7,6,6,5,1,4,6,7,7,5,1,3,1,6,1,7,7,5,7,7,6,6,7,7,7,7,7,7,6,3,6,7,6,6,21,2,5,2,1
24,1,1,5,2,6,7,7,5,6,6,7,7,7,7,6,1,5,2,1,6,6,5,7,5,7,6,6,6,6,7,7,5,4,7,5,6,7,6,4,33,3,4,4,4
25,1,1,5,2,6,7,3,2,6,6,7,6,5,6,6,6,6,1,7,7,4,7,7,7,7,7,7,4,5,7,7,6,4,7,7,4,7,6,7,41,1,6,2,7
26,1,1,5,2,6,6,7,7,6,6,5,2,6,3,7,2,7,2,6,6,7,6,4,7,7,7,6,7,6,5,6,7,7,7,7,7,6,7,6,40,2,3,13,7
27,1,1,5,2,6,5,5,5,6,6,7,6,4,6,3,4,7,2,3,1,5,7,7,7,4,6,5,6,6,6,7,7,7,1,3,6,7,6,4,36,3,3,5,6
28,1,1,5,2,6,6,2,6,6,5,6,7,6,6,5,3,6,7,7,7,6,6,3,6,3,7,7,6,7,7,1,6,7,6,5,7,6,6,6,39,2,4,1,1
29,1,1,5,2,6,6,3,3,7,4,7,6,6,7,6,1,7,6,6,6,3,6,3,6,7,4,7,7,7,6,7,4,7,7,3,7,6,5,6,44,3,4,3,7
30,1,1,5,2,6,7,6,7,7,4,7,7,6,5,7,2,7,1,6,6,6,7,6,5,7,6,7,6,6,7,7,2,7,7,3,6,6,3,7,44,3,3,7,1
31,1,1,5,2,6,7,1,5,6,4,7,7,6,2,7,3,7,3,7,6,7,5,5,4,6,7,5,7,7,7,3,7,4,5,6,6,3,7,2,31,2,3,2,5
